symbol,name
D05,DBS Group Holdings Ltd
O39,Oversea-Chinese Banking Corp Ltd
Z74,Singapore Telecommunications Ltd
Z77,Singapore Telecommunications Ltd
U11,United Overseas Bank Ltd
K6S,Prudential PLC
S63,Singapore Technologies Engineering Ltd
J36,Jardine Matheson Holdings Ltd
TATD,Airports of Thailand PCL DRC
Q0F,IHH Healthcare Bhd
H78,Hongkong Land Holdings Ltd
F34,Wilmar International Ltd
TPED,PTT Exploration Production PCL DRC
BN4,Keppel Ltd
C6L,Singapore Airlines Ltd
S68,Singapore Exchange Ltd
NIO,NIO Inc
C38U,CapitaLand Integrated Commercial Trust
TCPD,CP All PCL DRC
BS6,Yangzijiang Shipbuilding (Holdings) Ltd
G07,Great Eastern Holdings Ltd
9CI,CapitaLand Investment Ltd
SO7,Yangzijiang Shipbuilding (Holdings) Ltd
C07,Jardine Cycle & Carriage Ltd
A17U,CapitaLand Ascendas REIT
Y92,Thai Beverage PLC
U96,Sembcorp Industries Ltd
U14,UOL Group Ltd
D01,DFI Retail Group Holdings Ltd
C09,City Developments Ltd
G13,Genting Singapore Ltd
5E2,Seatrium Ltd
N2IU,Mapletree Pan Asia Commercial Trust
M44U,Mapletree Logistics Trust
ME8U,Mapletree Industrial Trust
EMI,Emperador Inc
AJBU,Keppel DC REIT
S58,SATS Ltd
T14,Tianjin Pharmaceutical Da Ren Tang Group Corp Ltd
8A8,China Medical System Holdings Ltd
U06,Singapore Land Group Ltd
V03,Venture Corp Ltd
K71U,Keppel REIT
J69U,Frasers Centrepoint Trust
EB5,First Resources Ltd
T82U,Suntec Real Estate Investment Trust
OV8,Sheng Siong Group Ltd
TQ5,Frasers Property Ltd
E5H,Golden Agri-Resources Ltd
CJLU,NetLink NBN Trust
BUOU,Frasers Logistics & Commercial Trust
S59,SIA Engineering Co Ltd
HMN,CapitaLand Ascott Trust
H02,Haw Par Corp Ltd
VC2,Olam Group Ltd
A7RU,Keppel Infrastructure Trust
C52,ComfortDelGro Corp Ltd
U10,UOB-Kay Hian Holdings Ltd
AVP,AvePoint Inc
S07,Shangri-La Asia Ltd
P8Z,Bumitama Agri Ltd
F17,GuocoLand Ltd
C2PU,Parkway Life Real Estate Investment Trust
AIY,iFAST Corp Ltd
H15,Hotel Properties Ltd
P7VU,Hutchison Port Holdings Trust
NS8U,Hutchison Port Holdings Trust
ULG,Ultragreen Ai Ltd
H22,Hong Leong Asia Ltd
F99,Fraser and Neave Ltd
